102,Peace River Airport,Peace River,Canada,YPE,CYPE,"","",1873,"","",America/Edmonton,airport
103,Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,"","",885,"","",America/Winnipeg,airport
104,Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,"","",11,"","",America/Vancouver,airport
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,"","",1267,"","",America/Coral_Harbour,airport
106,Port Menier Airport,Port Menier,Canada,YPN,CYPN,"","",167,"","",America/Toronto,airport
107,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,"","",628,"","",America/Toronto,airport
108,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,"","",116,"","",America/Vancouver,airport
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,"","",761,"","",America/Edmonton,airport
110,Muskoka Airport,Muskoka,Canada,YQA,CYQA,"","",925,"","",America/Toronto,airport
111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,"","",244,"","",America/Toronto,airport
112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,"","",2968,"","",America/Edmonton,airport
113,Windsor Airport,Windsor,Canada,YQG,CYQG,"","",622,"","",America/Toronto,airport
114,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,"","",2255,"","",America/Vancouver,airport
115,Kenora Airport,Kenora,Canada,YQK,CYQK,"","",1332,"","",America/Winnipeg,airport
116,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,"","",3048,"","",America/Edmonton,airport
117,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,"","",232,"","",America/Halifax,airport
119,Comox Airport,Comox,Canada,YQQ,CYQQ,"","",84,"","",America/Vancouver,airport
120,Regina International Airport,Regina,Canada,YQR,CYQR,"","",1894,"","",America/Regina,airport
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,"","",653,"","",America/Toronto,airport
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,"","",2195,"","",America/Edmonton,airport
123,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,"","",1635,"","",America/Regina,airport
124,North Battleford Airport,North Battleford,Canada,YQW,CYQW,"","",1799,"","",America/Regina,airport
125,Gander International Airport,Gander,Canada,YQX,CYQX,"","",496,"","",America/St_Johns,airport
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,"","",203,"","",America/Halifax,airport
127,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,"","",1789,"","",America/Vancouver,airport
128,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,"","",215,"","",America/Winnipeg,airport
129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,"","",427,"","",America/Toronto,airport
130,Roberval Airport,Roberval,Canada,YRJ,CYRJ,"","",586,"","",America/Toronto,airport
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,"","",3244,"","",America/Edmonton,airport
132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,"","",94,"","",America/Winnipeg,airport
133,Sudbury Airport,Sudbury,Canada,YSB,CYSB,"","",1141,"","",America/Toronto,airport
134,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,"","",792,"","",America/Toronto,airport
135,Saint John Airport,St. John,Canada,YSJ,CYSJ,"","",357,"","",America/Halifax,airport
136,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,"","",671,"","",America/Edmonton,airport
137,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,"","",2106,"","",America/Toronto,airport
138,Summerside Airport,Summerside,Canada,YSU,CYSU,"","",56,"","",America/Halifax,airport
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,"","",282,"","",America/Edmonton,airport
140,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,"","",164,"","",America/Toronto,airport
141,Thompson Airport,Thompson,Canada,YTH,CYTH,"","",729,"","",America/Winnipeg,airport
142,CFB Trenton,Trenton,Canada,YTR,CYTR,"","",283,"","",America/Toronto,airport
143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,"","",967,"","",America/Toronto,airport
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,"","",252,"","",America/Toronto,airport
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,"","",15,"","",America/Edmonton,airport
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,"","",118,"","",America/Toronto,airport
